,title,genre,director,released_year,studio,rotten_score,audience_score
21,Woman at War (Kona fer í stríð),"Action & Adventure,Art House & International,Mystery & Suspense",Benedikt Erlingsson,2019,Magnolia Pictures,97,91
22,Hail Satan?,Documentary,Penny Lane,2019,Magnolia Pictures,97,83
23,Birds of Passage (Pájaros de verano),Drama,"Cristina Gallego,Ciro Guerra",2019,The Orchard,96,89
24,Transit,"Art House & International,Drama",Christian Petzold,2019,Music Box Films,95,69
25,Wild Rose,"Comedy,Drama",Tom Harper,2019,NEON,93,87
26,Little Woods,Drama,Nia DaCosta,2019,NEON,96,52
27,Gloria Bell,"Comedy,Romance",Sebastián Lelio,2019,A24,91,44
28,The Last Black Man in San Francisco,Drama,Joe Talbot,2019,A24,93,84
29,The Heiresses (Las Herederas),Drama,Marcelo Martinessi,2019,DistriB Films,97,74
30,Toni Morrison: The Pieces I Am,Documentary,Timothy Greenfield-Sanders,2019,Magnolia Pictures,97,100
31,In Fabric,"Comedy,Horror",Peter Strickland,2019,A24,96,62
32,The Mustang,Drama,Laure de Clermont-Tonnerre,2019,Focus Features,94,75
33,The LEGO Movie 2: The Second Part,"Animation,Comedy",Mike Mitchell,2019,Warner Bros. Pictures,85,70
34,Shadow,"Action & Adventure,Art House & International,Drama",Zhang Yimou,2019,Perfect Village Entertainment,95,79
35,The Wild Pear Tree (Ahlat agaci),Drama,Nuri Bilge Ceylan,2019,Cinema Guild,95,79
36,The Kid Who Would Be King,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Joe Cornish,2019,20th Century Fox,89,60
37,Ask Dr. Ruth,Documentary,Ryan White,2019,Magnolia Pictures,94,100
38,Diane,Drama,Kent Jones,2019,IFC Films,93,67
39,An Elephant Sitting Still (Da xiang xi di er zuo),"Art House & International,Drama",Hu Bo (II),2019,Kimstim,95,73
40,Missing Link,"Action & Adventure,Animation,Comedy",Chris Butler,2019,Annapurna Pictures,89,70
41,Midsommar,Horror,Ari Aster,2019,A24,82,61
42,Rafiki,"Art House & International,Drama",Wanuri Kahiu,2019,Film Movement,93,79
43,Echo In the Canyon,Documentary,Andrew Slater (XI),2019,Greenwich Entertainment,93,91
44,The Souvenir,Drama,Joanna Hogg,2019,A24,90,33
45,Long Day's Journey Into Night (Di qiu zui hou de ye wan),"Art House & International,Drama,Mystery & Suspense",Gan Bi,2019,Kino Lorber,92,65
46,Disneynature: Penguins,Documentary,"Alastair Fothergill,Jeff Wyatt Wilson",2019,Disneynature,92,80
47,Always Be My Maybe,Comedy,Nahnatchka Khan,2019,Netflix,91,82
48,Non-Fiction,"Comedy,Drama,Romance",Olivier Assayas,2019,IFC Films,89,62
49,Long Shot,Comedy,Jonathan Levine,2019,Summit Entertainment,81,76
50,The Biggest Little Farm,Documentary,John Chester,2019,NEON,91,96
51,Giant Little Ones,Drama,Keith Behrman,2019,Vertical Entertainment,92,78
52,Starfish,"Drama,Horror,Science Fiction & Fantasy",A.T. White,2019,We Are Tessellate,92,49
53,Arctic,Drama,Joe Penna,2019,Bleecker Street,88,79
54,I Am Mother,"Mystery & Suspense,Science Fiction & Fantasy",Grant Sputore,2019,Netflix,91,74
55,Fyre,Documentary,Chris Smith,2019,Netflix,90,86
56,Wild Nights with Emily,"Comedy,Drama",Madeleine Olnek,2019,Greenwich Entertainment,90,63
57,Pain and Glory (Dolor y gloria),Drama,Pedro Almodóvar,2019,Sony Pictures Classics,92,100
58,Sauvage / Wild,Drama,Camille Vidal-Naquet,2019,Strand Releasing,92,59
59,The Art of Self-Defense,Comedy,Riley Stearns,2019,Bleecker Street,88,79
60,Crawl,Horror,Alexandre Aja,2019,Paramount Pictures,87,78
61,High Life,"Action & Adventure,Art House & International,Science Fiction & Fantasy",Claire Denis,2019,A24,83,43
62,Late Night,"Comedy,Drama",Nisha Ganatra,2019,Amazon Studios,80,77
63,Diamantino,"Art House & International,Comedy,Drama,Science Fiction & Fantasy","Gabriel Abrantes,Daniel Schmidt",2019,Kino Lorber,89,63
64,Framing John DeLorean,"Documentary,Drama","Don Argott,Sheena M. Joyce",2019,IFC Films,90,80
65,The Image Book (Le livre d'image),Documentary,Jean-Luc Godard,2019,Casa Azul Films,88,32
66,Meeting Gorbachev,Documentary,"Werner Herzog,André Singer",2019,1091,89,88
67,Plus One,"Comedy,Romance","Jeff Chan,Andrew Rhymer",2019,RLJE Films,89,83
68,Rust Creek,"Drama,Mystery & Suspense",Jen McGowan,2019,IFC Midnight,86,68
69,To Dust,Drama,Shawn Snyder (IV),2019,Good Deed Entertainment,88,75
70,Her Smell,Drama,Alex Ross Perry,2019,Gunpowder & Sky,84,48
71,Pavarotti,"Documentary,Musical & Performing Arts",Ron Howard,2019,CBS Films,86,98
72,The Hole in the Ground,Horror,Lee Cronin,2019,A24,84,48
73,The Boy Who Harnessed the Wind,"Art House & International,Drama",Chiwetel Ejiofor,2019,Netflix,85,88
74,The Brink,Documentary,Alison Klayman,2019,Magnolia Pictures,83,65
75,Everybody Knows (Todos lo saben),"Art House & International,Drama",Asghar Farhadi,2019,Focus Features,79,60
76,Girl,"Art House & International,Drama",Lukas Dhont,2019,Netflix,84,66
77,Dogman,"Drama,Mystery & Suspense",Matteo Garrone,2019,Magnolia Pictures,82,79
78,On the Basis of Sex,Drama,Mimi Leder,2019,Focus Features,74,73
79,Dragon Ball Super: Broly,Animation,Tatsuya Nagamine,2019,FUNimation Films,83,93
80,Loro,"Comedy,Drama",Paolo Sorrentino,2019,Sundance Selects,83,55
81,Knife + Heart (Un couteau dans le coeur),"Horror,Mystery & Suspense,Gay & Lesbian",Yann Gonzalez,2019,Altered Innocence,82,73
82,Never Look Away,Drama,Florian Henckel von Donnersmarck,2019,Sony Pictures Classics,78,87
83,Someone Great,"Comedy,Romance",Jennifer Kaytin Robinson,2019,Netflix,82,66
84,American Woman,Drama,Jake Scott,2019,Roadside Attractions/Vertical Entertainment,82,80
85,"Ruben Brandt, Collector","Animation,Art House & International",Milorad Krstic,2019,Sony Pictures Classics,81,82
86,Hotel Mumbai,Drama,Anthony Maras,2019,Bleecker Street,76,85
87,Fast Color,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Julia Hart,2019,LD Entertainment,81,81
88,"Sorry Angel (Plaire, aimer et courir vite)","Art House & International,Drama",Christophe Honoré,2019,Strand Releasing,81,60
89,Black Panther,"Action & Adventure,Drama,Science Fiction & Fantasy",Ryan Coogler,2018,Marvel Studios,97,79
90,Mission: Impossible - Fallout,"Action & Adventure,Drama,Mystery & Suspense",Christopher McQuarrie,2018,Paramount Pictures,97,88
91,BlacKkKlansman,"Comedy,Drama",Spike Lee,2018,Focus Features,96,83
92,Spider-Man: Into the Spider-Verse,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","Bob Persichetti,Peter Ramsey,Rodney Rothman",2018,Sony Pictures,97,93
93,Roma,Drama,Alfonso Cuarón,2018,Netflix,96,71
94,A Star Is Born,Drama,Bradley Cooper,2018,Warner Bros. Pictures,90,80
95,Eighth Grade,Comedy,Bo Burnham,2018,A24,99,83
96,A Quiet Place,"Drama,Horror,Mystery & Suspense",John Krasinski,2018,Paramount Pictures,95,83
97,Can You Ever Forgive Me?,"Comedy,Drama",Marielle Heller,2018,Fox Searchlight Pictures,98,81
98,Paddington 2,"Animation,Comedy,Kids & Family",Paul King (VII),2018,Warner Bros. Pictures,100,88
99,Incredibles 2,"Action & Adventure,Animation,Kids & Family",Brad Bird,2018,Disney/Pixar,94,85
100,The Favourite,Drama,Yorgos Lanthimos,2018,"Fox Searchlight Pictures, Film4 and Waypoint",93,67
101,Call Me by Your Name,"Drama,Romance",Luca Guadagnino,2018,Sony Pictures Classics,95,86
102,Leave No Trace,Drama,Debra Granik,2018,Bleecker Street,100,81
103,Widows,Drama,Steve McQueen (III),2018,20th Century Fox,91,62
104,Won't You Be My Neighbor?,Documentary,Morgan Neville,2018,Focus Features,98,95
105,Shoplifters (Manbiki kazoku),"Art House & International,Drama",Hirokazu Koreeda,2018,Magnolia Pictures,99,90
106,The Death of Stalin,"Comedy,Drama",Armando Iannucci,2018,IFC Films,96,77
107,The Hate U Give,Drama,George Tillman Jr.,2018,20th Century Fox,97,82
108,Ant-Man and the Wasp,"Action & Adventure,Comedy,Science Fiction & Fantasy",Peyton Reed,2018,Walt Disney Pictures,88,76
109,First Man,Drama,Damien Chazelle,2018,Universal Pictures,87,67
110,Crazy Rich Asians,Comedy,Jon M. Chu,2018,Warner Bros. Pictures,91,77
111,Sorry to Bother You,"Comedy,Science Fiction & Fantasy",Boots Riley,2018,Annapurna Pictures,93,71
112,Phantom Thread,Drama,Paul Thomas Anderson,2018,Focus Features,91,70
113,"I, Tonya",Drama,Craig Gillespie,2018,NEON,89,88
114,The Post,"Drama,Mystery & Suspense",Steven Spielberg,2018,20th Century Fox,88,73
115,Avengers: Infinity War,"Action & Adventure,Science Fiction & Fantasy","Anthony Russo,Joe Russo",2018,Walt Disney Pictures,85,91
116,Isle of Dogs,"Action & Adventure,Animation,Comedy",Wes Anderson,2018,Scott Rudin Productions,90,87
117,Hereditary,"Drama,Horror",Ari Aster,2018,Windy Hill Pictures,89,65
118,The Old Man & the Gun,Drama,David Lowery,2018,Fox Searchlight Pictures,93,60
119,The Rider,Drama,Chloé Zhao,2018,Sony Pictures Classics,97,82
120,Minding the Gap,Documentary,Bing Liu,2018,Hulu,100,93
121,McQueen,Documentary,Ian Bonhôte,2018,Bleecker Street,99,77
122,Summer 1993 (Estiu 1993),"Art House & International,Drama",Carla Simón,2018,Oscilloscope Laboratories,100,82
123,Three Identical Strangers,Documentary,Tim Wardle,2018,NEON,96,88
124,Bumblebee,"Action & Adventure,Science Fiction & Fantasy",Travis Knight,2018,Paramount Pictures,93,74
125,Free Solo,Documentary,"Elizabeth Chai Vasarhelyi,Jimmy Chin",2018,Greenwich Entertainment,97,93
126,First Reformed,Drama,Paul Schrader,2018,A24,93,68
127,The Guilty (Den skyldige),"Drama,Mystery & Suspense",Gustav Möller,2018,Magnolia Pictures,98,86
128,Wildlife,Drama,Paul Dano,2018,IFC Films,94,73
129,Tea With the Dames (Nothing Like a Dame),Documentary,Roger Michell,2018,94 minutes,99,80
130,Shirkers,Documentary,Sandi Tan,2018,Netflix,100,79
131,A Fantastic Woman (Una mujer fantástica),"Art House & International,Drama",Sebastián Lelio,2018,Sony Pictures Classics,93,78
132,RBG,Documentary,"Betsy West,Julie Cohen",2018,Magnolia Pictures,95,78
133,Cold War (Zimna wojna),"Drama,Romance",Pawel Pawlikowski,2018,Amazon Studios,92,81
134,Burning (Beoning),"Art House & International,Drama,Mystery & Suspense",Chang-dong Lee,2018,Well Go USA Entertainment,94,82
135,The Tale,Drama,Jennifer Fox,2018,HBO Films,99,84
136,Border (Gräns),"Art House & International,Mystery & Suspense,Science Fiction & Fantasy,Romance",Ali Abbasi,2018,NEON,97,75
137,Oh Lucy!,"Comedy,Drama",Atsuko Hirayanagi,2018,Film Movement,100,83
138,Night Comes On,Drama,Jordana Spiro,2018,Samuel Goldwyn Films,100,81
139,Loveless (Nelyubov),"Art House & International,Drama",Andrey Zvyagintsev,2018,Sony Pictures Classics,94,83
140,"Love, Simon",Drama,Greg Berlanti,2018,20th Century Fox,92,88
141,Searching,Mystery & Suspense,Aneesh Chaganty,2018,Screen Gems,91,88
142,Hannah Gadsby: Nanette,Comedy,"Madeleine Parry,Jon Olb",2018,Netflix,100,66
143,Mandy,"Action & Adventure,Mystery & Suspense",Panos Cosmatos,2018,RLJE Films,91,65
144,Blindspotting,"Comedy,Drama",Carlos Lopez Estrada,2018,Foley Walkers Studio,94,86
145,Annihilation,"Action & Adventure,Drama,Science Fiction & Fantasy",Alex Garland,2018,Paramount Pictures,88,66
146,Deadpool 2,"Action & Adventure,Comedy",David Leitch,2018,20th Century Fox,83,85
147,The Ballad of Buster Scruggs,"Drama,Western","Joel Coen,Ethan Coen",2018,Netflix,91,77
148,Zama,Drama,Lucrecia Martel,2018,Strand Releasing,96,56
149,You Were Never Really Here,"Drama,Mystery & Suspense",Lynne Ramsay,2018,Amazon Studios,89,64
150,In Between,Drama,Maysaloun Hamoud,2018,Film Movement,98,78
151,Thunder Road,"Comedy,Drama","Oct 19,2018
 limited",2018,91 minutes,97,95
152,I Am Not a Witch,"Art House & International,Drama",Rungano Nyoni,2018,Film Movement,97,76
153,The Cakemaker,Drama,Ofir Raul Graizer,2018,Strand Releasing,98,81
154,Foxtrot,Drama,Samuel Maoz,2018,Sony Pictures Classics,94,78
155,Science Fair,Documentary,"Cristina Costantini,Darren Foster",2018,National Geographic Documentary Films,97,87
156,Custody (Jusqu'à la garde),Drama,Xavier Legrand,2018,Kino Lorber,95,84
157,Sweet Country,"Action & Adventure,Art House & International,Drama",Warwick Thornton,2018,Samuel Goldwyn Films,96,71
158,Ralph Breaks the Internet,"Animation,Comedy,Kids & Family,Science Fiction & Fantasy","Phil Johnston,Rich Moore",2018,Walt Disney Animation Studios,88,65
159,"Hale County This Morning, This Evening",Documentary,RaMell Ross,2018,The Cinema Guild,97,39
160,Ryuichi Sakamoto: Coda,Documentary,"Jul 6,2018
 limited",2018,102 minutes,98,91
161,Marlina the Murderer in Four Acts,"Art House & International,Drama,Mystery & Suspense",Mouly Surya,2018,Icarus Films,98,79
162,Rodents of Unusual Size,Documentary,"Quinn Costello,Chris Metzler,Jeff Springer",2018,Tilapia Film,98,95
163,Leaning Into the Wind,"Art House & International,Documentary",Thomas Riedelsheimer,2018,Magnolia Pictures,98,73
164,To All the Boys I've Loved Before,"Drama,Romance",Susan Johnson,2018,Netflix,97,87
165,Pick of the Litter,Documentary,"Dana Nachman,Don Hardy Jr.",2018,Sundance Selects,97,90
166,Lean on Pete,Drama,Andrew Haigh,2018,A24,91,74
167,Western,"Art House & International,Drama",Valeska Grisebach,2018,Cinema Guild,96,73
168,Blaze,Drama,Ethan Hawke,2018,Sundance Selects,95,71
169,Revenge,"Action & Adventure,Mystery & Suspense",Coralie Fargeat,2018,Shudder and NEON,93,56
170,Support the Girls,Comedy,Andrew Bujalski,2018,Magnolia Pictures,92,64
171,The Endless,"Horror,Mystery & Suspense,Science Fiction & Fantasy","Justin Benson,Aaron Moorhead",2018,Well Go USA Entertainment,93,66
172,Filmworker,"Art House & International,Documentary",Tony Zierra,2018,Kino Lorber,95,86
173,American Animals,"Comedy,Drama,Mystery & Suspense",Bart Layton,2018,The Orchard,89,81
174,On Her Shoulders,Documentary,Alexandria Bombach,2018,RYOT FIlms / Oscilloscope Laboratories,96,87
175,Private Life,Drama,Tamara Jenkins,2018,Netflix,94,77
176,CAM,"Horror,Mystery & Suspense",Daniel Goldhaber,2018,94 minutes,94,56
177,Tully,Comedy,Jason Reitman,2018,Focus Features,86,74
178,Robin Williams: Come Inside My Mind,Documentary,Marina Zenovich,2018,HBO Documentary Films,96,87
179,Hearts Beat Loud,"Comedy,Drama",Brett Haley,2018,Gunpowder & Sky,91,73
180,Beast,Drama,Michael Pearce,2018,30WEST and Roadside Attractions,91,75
181,The Guardians (Les Gardiennes),"Art House & International,Drama",Xavier Beauvois,2018,Music Box Films,95,61
182,Journey's End,Drama,Saul Dibb,2018,levelFILM,93,73
183,Capernaum (Capharnaüm),Drama,Nadine Labaki,2018,Sony Pictures Classics,90,91
184,Creed II,"Action & Adventure,Drama,Sports & Fitness",Steven Caple Jr.,2018,MGM,84,81
185,1985,Drama,Yen Tan,2018,Wolfe Releasing,95,79
186,Dark Money,Documentary,Kimberly Reed,2018,PBS,95,63
187,Teen Titans Go! To the Movies,"Action & Adventure,Animation,Kids & Family","Aaron Horvath,Peter Rida Michail",2018,Warner Bros. Pictures,91,72
188,Colette,Drama,Wash Westmoreland,2018,Bleecker Street,87,71
189,Lady Bird,"Comedy,Drama",Greta Gerwig,2017,A24,99,79
190,Get Out,"Horror,Mystery & Suspense",Jordan Peele,2017,Universal Pictures,98,86
191,Wonder Woman,"Action & Adventure,Drama,Science Fiction & Fantasy",Patty Jenkins,2017,Warner Bros. Pictures,93,88
192,Coco,"Action & Adventure,Animation,Comedy,Kids & Family","Lee Unkrich,Adrian Molina",2017,Disney/Pixar,97,94
193,Dunkirk,"Action & Adventure,Drama",Christopher Nolan,2017,Warner Bros. Pictures,92,81
194,Star Wars: The Last Jedi,"Action & Adventure,Drama,Science Fiction & Fantasy",Rian Johnson,2017,Walt Disney Pictures,91,44
195,The Big Sick,"Comedy,Romance",Michael Showalter,2017,Amazon Studios,98,88
196,The Shape of Water,"Drama,Science Fiction & Fantasy,Romance",Guillermo del Toro,2017,Fox Searchlight Pictures,92,72
197,Logan,"Action & Adventure,Drama,Science Fiction & Fantasy",James Mangold,2017,20th Century Fox,93,90
198,Thor: Ragnarok,"Action & Adventure,Drama,Science Fiction & Fantasy",Taika Waititi,2017,Walt Disney Pictures,93,87
199,Baby Driver,"Action & Adventure,Drama",Edgar Wright,2017,Sony Pictures,93,86
200,The Florida Project,Drama,Sean Baker (II),2017,June Pictures,96,79
201,Spider-Man: Homecoming,"Action & Adventure,Drama,Science Fiction & Fantasy",Jon Watts,2017,Sony Pictures,92,88
202,War for the Planet of the Apes,"Action & Adventure,Drama,Science Fiction & Fantasy",Matt Reeves,2017,20th Century Fox,93,84
203,"Three Billboards Outside Ebbing, Missouri","Comedy,Drama",Martin McDonagh,2017,Fox Searchlight Pictures,90,86
204,I Am Not Your Negro,Documentary,Raoul Peck,2017,Magnolia Pictures,98,83
205,Hidden Figures,Drama,Ted Melfi,2017,20th Century Fox,93,93
206,Blade Runner 2049,"Action & Adventure,Drama,Science Fiction & Fantasy",Denis Villeneuve,2017,Warner Bros. Pictures,87,81
207,The Disaster Artist,Comedy,James Franco,2017,A24,91,86
208,Mudbound,Drama,Dee Rees,2017,Netflix,97,85
209,"Faces Places (Visages, villages)","Art House & International,Documentary","JR,Agnès Varda",2017,Cohen Media Group,99,89
210,The Salesman (Forushande),"Art House & International,Drama,Mystery & Suspense",Asghar Farhadi,2017,Cohen Media Group,96,84
211,Logan Lucky,Comedy,Steven Soderbergh,2017,Fingerprint Releasing / Bleecker Street,92,75
212,My Life as a Zucchini (Ma vie de courgette),"Animation,Art House & International,Kids & Family",Claude Barras,2017,Rita Productions,98,88
213,The Lego Batman Movie,"Action & Adventure,Animation,Comedy,Kids & Family",Chris McKay,2017,Warner Bros. Pictures,90,80
214,BPM (Beats Per Minute) (120 battements par minute),"Art House & International,Drama",Robin Campillo,2017,Les Films de Pierre,98,84
215,Kedi,Documentary,Ceyda Torun,2017,Oscilloscope Laboratories,98,85
216,Lucky,"Comedy,Drama",John Carroll Lynch,2017,Magnolia Pictures,97,82
217,Jane,Documentary,Brett Morgen,2017,National Geographic Studios,98,84
218,City of Ghosts,Documentary,Matthew Heineman,2017,"Amazon Studios, A&E Indie Films and IFC Films",98,81
219,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,Documentary,Alexis Bloom,2017,HBO Films,100,86
220,The Work,Documentary,"Jairus McLeary,Gethin Aldous",2017,Blanketfort Media,100,85
221,Dawson City: Frozen Time,Documentary,"Jun 9,2017
 limited",2017,Kino Lorber,100,70
222,God's Own Country,"Art House & International,Drama,Romance",Francis Lee,2017,Samuel Goldwyn Films,97,87
223,Columbus,Drama,Kogonada,2017,Superlative Films / Depth of Field Productions,97,80
224,Good Time,Drama,"Benny Safdie,Joshua Safdie",2017,A24,92,80
225,Truman,"Art House & International,Comedy,Drama",Cesc Gay,2017,FilmRise,99,80
226,Strong Island,Documentary,"Sep 15,2017
 limited",2017,Netflix,100,59
227,Your Name. (Kimi No Na Wa.),"Animation,Drama,Romance",Makoto Shinkai,2017,FUNimation Films,97,94
228,After the Storm (Umi yori mo mada fukaku),"Art House & International,Drama",Hirokazu Koreeda,2017,Film Movement,96,80
229,A Ghost Story,Drama,David Lowery,2017,Ideaman Studios,90,66
230,One Cut of the Dead (Kamera o tomeru na!),"Art House & International,Comedy,Horror",Shin'ichirô Ueda,2017,Shin'ichirô Ueda,100,95
231,Whose Streets?,Documentary,Sabaah Folayan,2017,Magnolia Pictures,98,74
232,Guardians of the Galaxy Vol. 2,"Action & Adventure,Comedy,Science Fiction & Fantasy",James Gunn (II),2017,Walt Disney Pictures,84,87
233,Graduation (Bacalaureat),"Art House & International,Drama",Cristian Mungiu,2017,Sundance Selects,95,83
234,It,"Drama,Horror,Mystery & Suspense",Andy Muschietti,2017,Warner Bros. Pictures,85,84
235,Menashe,Drama,Joshua Z. Weinstein,2017,A24 Films,96,63
236,The Meyerowitz Stories (New and Selected),"Comedy,Drama",Noah Baumbach,2017,Netflix,93,72
237,John Wick: Chapter 2,"Action & Adventure,Drama",Chad Stahelski,2017,Summit Entertainment,89,85
238,Quest,Documentary,Jonathan Olshefski,2017,First Run Features,98,77
239,Dina,Documentary,"Antonio Santini,Dan Sickles",2017,The Orchard,98,80
240,Step,Documentary,Amanda Lipitz,2017,83 minutes,96,80
241,The Red Turtle (La tortue rouge),"Animation,Art House & International",Michaël Dudok De Wit,2017,Studio Ghibli,93,80
242,In This Corner of the World (Kono sekai no katasumi ni),"Animation,Art House & International,Drama",Sunao Katabuchi,2017,Shout! Factory Films,97,100
243,Trophy,Documentary,"Shaul Schwarz,Christina Clusiau",2017,The Orchard,98,81
244,"I, Daniel Blake","Art House & International,Drama",Ken Loach,2017,Sundance Selects,92,85
245,Raw,Horror,Julia Ducournau,2017,Petit Film,92,76
246,1945,"Art House & International,Drama",Ferenc Torok,2017,Katapult Film,97,80
247,Ex Libris: New York Public Library,Documentary,Frederick Wiseman,2017,Zipporah Films,97,62
248,The Last Laugh,Documentary,Ferne Pearlstein,2017,Tangerine Entertainment,98,76
249,A Quiet Passion,Drama,Terence Davies,2017,Hurricane Films,92,48
250,The Breadwinner,"Animation,Drama,Kids & Family",Nora Twomey,2017,93 minutes,95,86
251,Bombshell: The Hedy Lamarr Story,Documentary,Alexandra Dean,2017,Reframed Pictures,95,87
252,20th Century Women,"Comedy,Drama",Mike Mills,2017,A24 Films,89,74
253,The B-Side: Elsa Dorfman's Portrait Photography,Documentary,Errol Morris,2017,NEON,96,70
254,Thelma,"Art House & International,Mystery & Suspense",Joachim Trier,2017,The Orchard,92,76
255,Battle of the Sexes,"Comedy,Drama,Sports & Fitness","Jonathan Dayton,Valerie Faris",2017,Fox Searchlight Pictures,85,72
256,Stronger,Drama,David Gordon Green,2017,Lionsgate and Roadside Attractions,90,80
257,I Called Him Morgan,Documentary,Kasper Collin,2017,Kasper Collin Produktion,96,81
258,Girls Trip,"Comedy,Drama",Malcolm D. Lee,2017,Universal Pictures,91,78
259,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentary,Chris Smith,2017,Netflix,96,88
260,Félicité,"Art House & International,Drama",Alain Gomis,2017,Strand Releasing,96,48
261,The Women's Balcony (Ismach Hatani),"Art House & International,Comedy,Drama",Emil Ben-Shimon,2017,Menemsha Films,96,78
262,The Survivalist,"Art House & International,Drama,Mystery & Suspense,Science Fiction & Fantasy",Stephen Fingleton,2017,IFC Midnight,96,66
263,It Comes At Night,"Drama,Horror",Trey Edward Shults,2017,A24,87,44
264,Wind River,"Drama,Mystery & Suspense",Taylor Sheridan,2017,The Weinstein Company,87,90
265,American Made,"Action & Adventure,Drama,Mystery & Suspense",Doug Liman,2017,Universal Pictures,86,78
266,Darkest Hour,Drama,Joe Wright,2017,Focus Features,84,82
267,A Monster Calls,"Comedy,Drama,Kids & Family,Science Fiction & Fantasy",J.A. Bayona,2017,Focus Features,86,81
268,Lady Macbeth,"Art House & International,Drama",William Oldroyd,2017,Roadside Attractions,89,71
269,Their Finest,"Comedy,Drama,Romance",Lone Scherfig,2017,EuropaCorp / STXfilms,90,72
270,Frantz,"Art House & International,Drama",François Ozon,2017,Music Box Films,91,84
271,Okja,"Action & Adventure,Drama,Science Fiction & Fantasy",Bong Joon Ho,2017,Netflix,87,81
272,Detroit,"Drama,Mystery & Suspense",Kathryn Bigelow,2017,Annapurna Pictures,84,79
273,The Lost City of Z,"Action & Adventure,Drama",James Gray,2017,Amazon Studios/Bleecker Street Media,86,57
274,Gook,Drama,Justin Chon,2017,Samuel Goldwyn Films,94,83
275,Citizen Jane: Battle for the City,Documentary,Matt Tyrnauer,2017,Sundance Selects,94,69
276,Abacus: Small Enough to Jail,Documentary,Steve James (II),2017,Kartemquin Films,93,84
277,Icarus,Documentary,Bryan Fogel,2017,Netflix,94,94
278,All This Panic,Documentary,Jenny Gage,2017,Factory 25,94,68
279,Human Flow,Documentary,Ai Weiwei,2017,Amazon Studios and Participant Media,91,81
280,Maudie,"Art House & International,Drama,Romance",Aisling Walsh,2017,Sony Pictures Classics,89,89
281,Endless Poetry (Poesía Sin Fin),"Art House & International,Drama,Science Fiction & Fantasy",Alejandro Jodorowsky,2017,128 minutes,93,81
282,The Other Side of Hope (Toivon tuolla puolen),"Art House & International,Comedy,Drama",Aki Kaurismäki,2017,Janus Films,91,77
283,Land of Mine (Under Sandet),"Art House & International,Drama",Martin Zandvliet,2017,Sony Pictures Classics,91,88
284,Prevenge,"Art House & International,Comedy,Drama,Horror,Science Fiction & Fantasy",Alice Lowe,2017,Western Edge Pictures,92,54
285,Silence,Drama,Martin Scorsese,2017,Paramount Pictures,83,69
286,School Life,Documentary,"David Rane,Neasa Ní Chianáin",2017,Magnolia Pictures,93,89
287,Moonlight,Drama,Barry Jenkins (III),2016,A24 Films,98,79
288,Arrival,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Denis Villeneuve,2016,21 Laps Entertainment,94,82
289,Manchester by the Sea,Drama,Kenneth Lonergan,2016,Roadside Attractions,96,77
290,La La Land,"Comedy,Drama,Musical & Performing Arts",Damien Chazelle,2016,Liongate Films,91,81
291,Zootopia,"Action & Adventure,Animation,Comedy","Byron Howard,Rich Moore,Jared Bush",2016,Walt Disney Animation Studios,97,92
292,The Jungle Book,"Action & Adventure,Kids & Family",Jon Favreau,2016,Walt Disney Pictures,95,86
293,Hell or High Water,"Drama,Mystery & Suspense",David Mackenzie,2016,Film 44,97,88
294,Captain America: Civil War,"Action & Adventure,Science Fiction & Fantasy","Anthony Russo,Joe Russo",2016,Walt Disney Pictures,91,89
295,Finding Dory,Animation,"Andrew Stanton,Angus MacLane",2016,Walt Disney Pictures/PIXAR,94,84
296,Moana,"Action & Adventure,Animation,Kids & Family","Ron Clements,John Musker,Chris Williams (IX),Don Hall",2016,Walt Disney Pictures,96,89
297,Paterson,"Comedy,Drama",Jim Jarmusch,2016,K5 International,96,71
298,Kubo and the Two Strings,"Action & Adventure,Animation,Science Fiction & Fantasy",Travis Knight,2016,Focus Features,97,86
299,The Nice Guys,"Comedy,Drama",Shane Black,2016,Warner Bros. Pictures,93,79
300,Love & Friendship,"Comedy,Drama",Whit Stillman,2016,Roadside Attractions,97,60
301,Things to Come (L'avenir),"Art House & International,Drama",Mia Hansen-Løve,2016,IFC Films,99,71
302,Hunt for the Wilderpeople,"Action & Adventure,Comedy",Taika Waititi,2016,Piki Films,96,91
303,Doctor Strange,"Action & Adventure,Science Fiction & Fantasy",Scott Derrickson,2016,Walt Disney Pictures,89,86
304,Eye In The Sky,"Drama,Mystery & Suspense",Gavin Hood,2016,Eone Films,95,82
305,The Handmaiden (Ah-ga-ssi),"Art House & International,Drama,Romance",Chan-wook Park,2016,CJ Entertainment,95,91
306,Don't Think Twice,Comedy,Mike Birbiglia,2016,The Film Arcade,98,69
307,Sing Street,"Art House & International,Drama,Musical & Performing Arts",John Carney,2016,Likely Story,95,92
308,The Witch,Horror,Robert Eggers,2016,A24 Films,90,58
309,Cameraperson,Documentary,Kirsten Johnson,2016,Fork Films,99,69
310,Weiner,Documentary,"Elyse Steinberg,Josh Kriegman",2016,Motto Pictures,96,83
