,title,genre,director,released_year,studio,rotten_score,audience_score
1122,District 9,"Action & Adventure,Art House & International,Drama,Science Fiction & Fantasy",Neill Blomkamp,2009,Sony Pictures/Screen Gems,90,82
1123,Up in the Air,"Comedy,Drama,Romance",Jason Reitman,2009,Paramount Pictures,91,79
1124,Fantastic Mr. Fox,"Action & Adventure,Animation,Comedy,Kids & Family",Wes Anderson,2009,20th Century Fox,92,85
1125,In the Loop,"Art House & International,Comedy",Armando Iannucci,2009,IFC,94,82
1126,The Cove,Documentary,Louie Psihoyos,2009,Roadside Attractions,95,94
1127,Inglourious Basterds,"Action & Adventure,Drama",Quentin Tarantino,2009,The Weinstein Company,88,88
1128,Avaze gonjeshk-ha (The Song of Sparrows),"Art House & International,Drama",Majid Majidi,2009,Regent Releasing,98,87
1129,Coraline,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy",Henry Selick,2009,Focus Features,90,73
1130,Precious: Based on the Novel Push by Sapphire,Drama,Lee Daniels,2009,Lionsgate Films,91,81
1131,Sweetgrass,"Documentary,Special Interest,Western","Lucien Castaing-Taylor,Ilisa Barbash",2009,Cinema Guild,97,66
1132,"Food, Inc.","Documentary,Special Interest",Robert Kenner,2009,Magnolia Pictures,95,86
1133,Revanche,"Art House & International,Drama,Romance",Götz Spielmann,2009,Janus Films,96,82
1134,Zombieland,"Comedy,Horror",Ruben Fleischer,2009,Sony/Columbia Pictures,90,86
1135,Tulpan,"Art House & International,Comedy,Drama","Sergei Dvortsevoy,Sergey Dvortsevoy,Sergay Dvortsevoy",2009,Zeitgeist Films,96,69
1136,Good Hair,"Comedy,Documentary,Special Interest",Jeff Stilson,2009,Roadside Attractions,95,69
1137,Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary,"Judith Ehrlich,Rick Goldsmith",2009,First Run Features,96,91
1138,Somers Town,"Art House & International,Comedy,Drama",Shane Meadows,2009,Film Movement,96,75
1139,Ponyo,"Action & Adventure,Animation,Art House & International,Kids & Family,Science Fiction & Fantasy",Hayao Miyazaki,2009,Walt Disney Pictures,92,83
1140,Goodbye Solo,"Comedy,Drama",Ramin Bahrani,2009,Roadside Attractions,94,82
1141,L'Heure d'été (Summer Hours),"Art House & International,Drama,Kids & Family",Olivier Assayas,2009,IFC Films,94,70
1142,Crazy Heart,"Drama,Musical & Performing Arts,Romance",Scott Cooper,2009,Fox Searchlight Pictures,90,76
1143,Crude,"Documentary,Special Interest",Joe Berlinger,2009,First Run Features,95,85
1144,Mary and Max,"Animation,Comedy,Drama",Adam Elliot,2009,IFC Films,95,92
1145,Tokyo Sonata (Tokyo Sonata),"Art House & International,Drama",Kiyoshi Kurosawa,2009,Regent Releasing,94,80
1146,The Damned United,"Drama,Sports & Fitness",Tom Hooper,2009,Sony Pictures Classics,92,85
1147,Moon,"Mystery & Suspense,Science Fiction & Fantasy",Duncan Jones,2009,Sony Pictures Classics,90,89
1148,A Serious Man,"Comedy,Drama","Roger Deakins,Joel Coen,Ethan Coen",2009,Focus Features,89,68
1149,Adventureland,"Comedy,Drama",Greg Mottola,2009,Miramax Films,88,61
1150,Under the Sea 3D,Documentary,Howard Hall,2009,IMAX/Warner Bros.,94,75
1151,La Nana (The Maid),"Art House & International,Drama",Sebastián Silva,2009,Elephant Eye Films,93,81
1152,Every Little Step,"Documentary,Drama,Musical & Performing Arts","Adam Del Deo,James D. Stern",2009,Sony Pictures Classics,92,88
1153,"Yoo-hoo, Mrs. Goldberg","Documentary,Television",Aviva Kempner,2009,IFC Films,93,81
1154,Katyn,"Art House & International,Drama",Andrzej Wajda,2009,Artificial Eye,93,75
1155,Red Cliff (Chi Bi),"Action & Adventure,Art House & International,Classics,Drama",John Woo,2009,Magnolia Pictures,91,78
1156,Of Time and the City,Documentary,Terence Davies,2009,Strand Releasing,93,67
1157,The Messenger,"Drama,Romance",Oren Moverman,2009,Oscilloscope Pictures,89,75
1158,Il Divo,"Art House & International,Drama",Paolo Sorrentino,2009,Music Box Films,92,80
1159,Maria Larssons eviga ögonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment),"Art House & International,Drama",Jan Troell,2009,IFC Films,90,84
1160,Etz Limon (Lemon Tree),"Art House & International,Drama,Romance",Eran Riklis,2009,IFC,91,83
1161,World's Greatest Dad,"Comedy,Drama",Bobcat Goldthwait,2009,Magnolia Pictures,89,67
